name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
virginia,2023-01-01,66.7,48.2,55.3,66.7,47.4,55.2,48.3,79.6,0.062,100,25,rain,0,0,6.9,7.6,254,1016.5,33.4,9.3,90,8,4,10,2023-01-01T07:24:39,2023-01-01T17:02:07,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-02,67.7,40.9,54.7,67.7,40.9,54.6,47,77.8,0,0,0,,0,0,18.3,11.8,233.4,1020.8,47.8,8.4,83.6,7.3,4,10,2023-01-02T07:24:47,2023-01-02T17:02:55,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-03,70.1,52.9,61.3,70.1,52.9,61.3,52.9,75.7,0,0,0,,0,0,28,18.5,204.3,1016.9,57.9,9.1,59.4,5.1,3,10,2023-01-03T07:24:54,2023-01-03T17:03:45,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-04,66.4,58.4,62.9,66.4,58.4,62.9,57.7,83.2,0.213,100,29.17,rain,0,0,24.2,12.8,206.3,1012.6,78.4,9.5,24.8,2,1,10,2023-01-04T07:24:58,2023-01-04T17:04:36,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-05,66.6,44.7,57.7,66.6,44.7,57.7,48,73,0.001,100,4.17,rain,0,0,18.3,11.7,232.2,1014,45,9.6,89.7,7.6,4,10,2023-01-05T07:25:00,2023-01-05T17:05:28,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-06,56.6,37.3,47.5,56.6,37.3,46.7,31.8,57.4,0,0,0,,0,0,28.9,13.9,306.2,1018.6,62.2,9.9,99.7,8.4,5,10,2023-01-06T07:25:01,2023-01-06T17:06:21,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-07,52.5,32.5,41,52.5,32.5,39.4,27.8,61.7,0,0,0,,0,0,17.2,9.7,287.4,1025.2,37.8,9.9,96.5,8.3,5,10,2023-01-07T07:24:59,2023-01-07T17:07:16,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-08,40.9,28,36,38.4,27.8,34.3,28.5,75.2,0.685,100,41.67,rain,0,0,6.9,7,64.9,1026.7,67,8,28.9,2.5,2,10,2023-01-08T07:24:55,2023-01-08T17:08:11,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-09,52.9,31.3,42.9,52.9,31.3,39.4,33.1,71.6,0.101,100,83.33,rain,0,0,21.9,13.5,294.9,1017.6,37.9,9.1,101.6,8.7,5,10,2023-01-09T07:24:49,2023-01-09T17:09:08,0.59,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-10,47.2,26.2,35.6,44.3,26.2,34.3,27.5,74.2,0,0,0,,0,0,9.2,11.9,128.7,1019.2,43.5,9.6,78.3,6.8,4,10,2023-01-10T07:24:41,2023-01-10T17:10:05,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-11,47.5,26.2,37.8,45,26.2,35.9,31.4,78.8,0,0,0,,0,0,9.2,8.1,114.8,1021.9,50.9,8,64.3,5.5,3,10,2023-01-11T07:24:31,2023-01-11T17:11:04,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-12,62.9,37.9,50.6,62.9,37.9,49.8,44.7,80.8,0.198,100,12.5,rain,0,0,33.7,19.6,176.7,1015.3,84,8.8,61.2,5.2,2,10,2023-01-12T07:24:19,2023-01-12T17:12:03,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-13,55.7,40.8,51.3,55.7,32.8,49.6,40.9,69.3,0.21,100,66.67,rain,0,0,30.6,15.4,316.2,1005.9,82.6,9.7,100.8,8.8,5,10,2023-01-13T07:24:05,2023-01-13T17:13:03,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-14,39.7,31.4,36.3,32.2,20.7,27.5,23.3,58.9,0.001,100,4.17,"rain,snow",0,0,30.8,17.6,345.7,1012.8,94.9,9.9,24.5,2.1,1,10,2023-01-14T07:23:49,2023-01-14T17:14:04,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-15,46,27.2,35.2,40.6,18.9,27.7,18.4,51,0,0,0,"rain,snow",0,0,25.7,16.2,340.4,1019.2,5.3,9.9,120.5,10.3,5,10,2023-01-15T07:23:31,2023-01-15T17:15:06,0.79,Clear,Clear conditions throughout the day.,clear-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-16,57.3,27.6,41.7,57.3,21.4,39.2,15.3,37.5,0,0,0,"rain,snow",0,0,19.7,12.6,306.6,1017.2,29.8,9.9,116.8,9.9,5,10,2023-01-16T07:23:11,2023-01-16T17:16:08,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-17,48.8,41.7,45.1,44.5,38.4,41.7,35.2,71.1,0.101,100,45.83,rain,0,0,16.1,10.6,214.6,1009.5,75.1,9.4,31.7,2.6,1,10,2023-01-17T07:22:49,2023-01-17T17:17:11,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-18,63.4,44.5,51.9,63.4,40.9,50,42.4,72.6,0.001,100,4.17,rain,0,0,20.8,12.4,237.1,1013.7,43.6,9.6,100.4,8.7,4,10,2023-01-18T07:22:25,2023-01-18T17:18:14,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-19,63.4,44.1,53.2,63.4,42.5,52.3,46.2,77.1,0.028,100,16.67,rain,0,0,20.8,10.7,177.2,1011.3,82.8,9.1,30.4,2.5,2,10,2023-01-19T07:21:58,2023-01-19T17:19:18,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-20,61.3,40.7,52.3,61.3,36.5,51.3,30.5,43.7,0.002,100,8.33,rain,0,0,30.2,18,286.1,1011.6,37.2,9.9,127.9,11,5,10,2023-01-20T07:21:30,2023-01-20T17:20:23,0.96,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-21,47.9,29.5,38.5,44.8,27.9,35.5,24.5,58.4,0,0,0,,0,0,21,12.3,341.5,1023.2,27.7,9.9,122.2,10.4,5,10,2023-01-21T07:21:00,2023-01-21T17:21:28,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-22,43.6,31.5,38.5,41,27.3,35.5,34.4,85.1,0.269,100,50,rain,0,0,12.8,9.1,67.2,1016.4,88.1,7.1,25,2.2,2,10,2023-01-22T07:20:29,2023-01-22T17:22:33,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KRIC,KFCI,F2053,AS694,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-23,51.2,38.1,43.4,51.2,33.1,39.6,32.7,69.7,0.167,100,20.83,rain,0,0,30.4,16.6,289.1,1010.9,70.2,9,99.8,8.5,5,10,2023-01-23T07:19:55,2023-01-23T17:23:38,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-24,54.8,31.3,39.9,54.8,24.5,37.1,23.7,55.9,0.001,100,4.17,rain,0,0,12.8,7.6,256.9,1024.5,21.1,9.9,140.4,12,6,10,2023-01-24T07:19:19,2023-01-24T17:24:44,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KRIC,KFCI,F2053,72401013740,F0267,KW96,KOFP,72308493775"
virginia,2023-01-25,55.8,30.4,41.2,55.8,28.7,38.9,37.4,86.4,0.551,100,54.17,rain,0,0,20.8,11.2,104.7,1015.4,85.5,6.9,15.2,1.4,1,10,2023-01-25T07:18:42,2023-01-25T17:25:50,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KRIC,KFCI,F2053,AS694,72401013740,KW96,KOFP,C7979,72308493775"
virginia,2023-01-26,49.7,37.5,45,44.6,34.2,39.9,32.3,63.8,0.026,100,66.67,rain,0,0,26,16.4,256.9,1010.6,61.5,9.5,98.1,8.4,5,10,2023-01-26T07:18:02,2023-01-26T17:26:57,0.16,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-27,46.7,28.9,37.8,41.8,25.2,33.7,20.8,52.1,0.005,100,20.83,"rain,snow",0,0,24.2,12.7,273.8,1022,17.1,9.9,143.2,12.3,5,10,2023-01-27T07:17:21,2023-01-27T17:28:03,0.2,"Snow, Rain",Clear conditions throughout the day with a chance of rain or snow throughout the day.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-28,60.6,30.9,44.1,60.6,24.6,41.4,25.1,49.1,0.002,100,8.33,"rain,snow",0,0,19.7,10.8,228.7,1027.1,14.8,9.9,152.9,13.2,6,10,2023-01-28T07:16:39,2023-01-28T17:29:10,0.25,"Snow, Rain",Clear conditions throughout the day with rain or snow.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2023-01-29,54.6,33.5,44,54.6,27.9,40.6,33.8,68.2,0.002,100,4.17,rain,0,0,27.6,16.3,218.7,1025.5,62.5,9.8,59,5,3,10,2023-01-29T07:15:54,2023-01-29T17:30:17,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
